X = 0.6908 +/- 0.0039 	 Y = 0.5851 +/- 0.0042 	 Z = 1.1017 +/- 0.0058 

time [s] 	 Strip1_V 	 Strip2_V 	 Strip3_V 	 Strip4_V 	 Xfield_V 	 Yfield_V 	 Zfield_V 
0.00000000 	 0.2188 	 0.2812 	 -0.2188 	 0.0312 	 0.0004 	 -0.0024 	 0.0008 
0.00001010 	 -0.0938 	 -0.0312 	 -0.0625 	 0.0312 	 -0.0004 	 0.0000 	 0.0016 
0.00002020 	 0.0625 	 0.1250 	 0.0938 	 0.1875 	 0.0020 	 0.0016 	 0.0016 
0.00003030 	 0.0625 	 -0.0312 	 -0.0625 	 0.0312 	 -0.0012 	 -0.0032 	 0.0000 
0.00004040 	 0.0625 	 -0.0312 	 -0.2188 	 0.1875 	 -0.0004 	 0.0008 	 0.0000 
0.00005051 	 0.3750 	 0.4375 	 0.2500 	 0.5000 	 -0.0535 	 -0.0434 	 -0.0515 
0.00006061 	 0.6875 	 0.5938 	 0.5625 	 0.6562 	 -0.0132 	 -0.0113 	 -0.0113 
0.00007071 	 0.8438 	 1.0625 	 0.5625 	 1.1250 	 -0.0100 	 -0.0080 	 -0.0072 
0.00008081 	 1.4688 	 1.3750 	 1.1875 	 1.4375 	 -0.0044 	 -0.0056 	 -0.0024 
0.00009091 	 1.9375 	 1.6875 	 1.5000 	 1.9062 	 0.0004 	 -0.0024 	 0.0008 
0.00010101 	 2.4062 	 2.0000 	 1.9688 	 2.3750 	 -0.0052 	 -0.0056 	 -0.0064 
0.00011111 	 2.8750 	 2.7812 	 2.2812 	 3.0000 	 -0.0004 	 -0.0008 	 0.0008 
0.00012121 	 3.0312 	 3.0938 	 2.7500 	 3.3125 	 -0.0004 	 -0.0008 	 0.0000 
0.00013131 	 3.6562 	 3.5625 	 2.9062 	 3.7812 	 -0.0020 	 -0.0024 	 -0.0032 
0.00014141 	 3.9688 	 3.7188 	 3.5312 	 4.0938 	 -0.0020 	 -0.0040 	 -0.0008 
0.00015152 	 4.2812 	 4.1875 	 3.6875 	 4.4062 	 -0.0036 	 -0.0064 	 -0.0040 
0.00016162 	 4.5938 	 4.6562 	 4.0000 	 5.0312 	 -0.0044 	 -0.0072 	 -0.0040 
0.00017172 	 5.2188 	 5.1250 	 4.4688 	 5.1875 	 0.0004 	 -0.0040 	 0.0008 
0.00018182 	 5.3750 	 5.4375 	 4.6250 	 5.6562 	 0.0004 	 -0.0040 	 0.0000 
0.00019192 	 5.8438 	 5.5938 	 5.0938 	 5.9688 	 -0.0004 	 -0.0072 	 -0.0016 
0.00020202 	 6.0000 	 6.0625 	 5.5625 	 6.5938 	 0.0028 	 -0.0040 	 0.0032 
0.00021212 	 6.4688 	 6.3750 	 5.8750 	 6.5938 	 -0.0004 	 -0.0072 	 -0.0008 
0.00022222 	 6.4688 	 6.6875 	 6.0312 	 6.9062 	 0.0044 	 -0.0072 	 0.0032 
0.00023232 	 6.9375 	 7.0000 	 6.3438 	 7.0625 	 0.0085 	 -0.0008 	 0.0072 
0.00024242 	 7.2500 	 7.3125 	 6.6562 	 7.6875 	 0.0093 	 -0.0008 	 0.0072 
0.00025253 	 7.4062 	 7.6250 	 6.8125 	 7.8438 	 0.0117 	 0.0008 	 0.0088 
0.00026263 	 7.8750 	 7.7812 	 7.4375 	 8.0000 	 0.0117 	 0.0032 	 0.0080 
0.00027273 	 8.0312 	 8.0938 	 7.4375 	 8.4688 	 0.0141 	 0.0040 	 0.0096 
0.00028283 	 8.3438 	 8.4062 	 8.0625 	 8.3125 	 0.0165 	 0.0080 	 0.0129 
0.00029293 	 8.3438 	 8.5625 	 8.2188 	 8.6250 	 0.0165 	 0.0088 	 0.0129 
0.00030303 	 8.5000 	 8.7188 	 8.2188 	 8.9375 	 0.0165 	 0.0072 	 0.0129 
0.00031313 	 8.8125 	 8.8750 	 8.5312 	 8.9375 	 0.0189 	 0.0080 	 0.0145 
0.00032323 	 8.8125 	 9.3438 	 8.6875 	 9.0938 	 0.0165 	 0.0088 	 0.0129 
0.00033333 	 8.9688 	 9.3438 	 9.0000 	 9.2500 	 0.0189 	 0.0105 	 0.0153 
